article_no,title,category
138032,(서울캠퍼스) 2025 하계 계절학기 폐강과목 공지 및 수강철회/환불신청 안내(~6.24 16시까지),학사
137778,2025년 SIEMENS-PACE센터 하계 계절학기 (NX공학소프트웨어 특강),학사
137583,수강신청 부정행위 관리 시행 안내,학사
137573,2025학년도 1학기 성적조회 안내,학사
137407,[세종캠퍼스] 2025학년도 2학기 재입학 추가 접수 안내(학부),학사
136687,2025학년도 1학기 핵심역량진단검사 안내,학사
136684,2025학년도 1학기 강의평가 시행 안내,학사
136443,2025학년도 1학기 사이버강좌 기말고사 시행 안내,학사
136414,(세종캠퍼스) 2025학년도 하계 계절학기 일정 안내,학사
134817,2025학년도 1학기 대학(원) 등록금 분납 안내(4월 28일~30일),학사
134325,2025학년도 2학기 재입학 신청 안내(학부생),학사
134007,2025학년도 1학기 강의중간평가 시행 안내,학사
133725,2025학년도 1학기 사이버강좌 중간고사 시행 안내,학사
133382,(서울캠퍼스) 2025학년도 1학기 폐강 강좌 안내,학사
133156,2026학년도 전과 전형 안내,학사
132828,2025학년도 1학기 학점포기 신청 안내,학사
132826,2025학년도 1학기 재수강 선삭제 신청 안내,학사
132794,"[신입생, 전학년 필독] 2025학년도 1학기 개강 후 주요 안내-수강정정/수강철회/폐강",학사
132759,2025학년도 1학기 등록금 분할납부 추가신청안내 (학부) (최종),학사
132675,[학부생]2025-1학기 추가 휴학 및 휴학연장 신청 안내 (최종),학사
132271,2025학년도 편입생 오리엔테이션 안내(세종캠퍼스),학사
132249,성적평가 방법 변경 안내,학사
132247,2025학년도 1학기 사이버강좌 출석 및 수강방법 안내,학사
132168,2025학년도 편입생 오리엔테이션 안내 (서울캠퍼스),학사
132167,"2025학년도 1학기 교양학점 초과자 및 학기초과자 수강신청, 등록 안내(학부)",학사
132144,2025학년도 학생증 신청안내,학사
132053,2025학년도 신입생 입학식 안내,학사
132012,2025학년도 1학기 로컬크리에이터 미세전공 추가 신청 안내,학사
131978,2025학년도 1학기 등록금 분할납부 신청안내(학부)_신청기간 수정,학사
131964,[세종] 2025학년도 1학기 사회봉사 신청 안내,학사
131561,2025학년도 1학기 군이러닝 수강신청 안내,학사
131542,★신입생 반드시 필독★학번 확인/클래스넷 로그인★ 2025학년도 신입생 수강신청 안내,학사
131333,2025학년도 1학기 학기재수강 추가 신청 안내,학사
131304,[학부생]2025학년도 제1학기 추가 복학(최종) 및 휴학(연장) 신청 안내,학사
131140,2025학년도 교직과정 이수신청서 접수안내,학사
131118,2025학년도 1학기 OCU컨소시엄 공동개설과목 수강신청 및 시스템사용료 납부 안내,학사
131114,2024학년도 2학기 강의평가 추가 시행 안내,학사
130969,[전학년 필독] 2025-1학기 수강신청 안내- 수강신청/정정/철회 관련 자주 묻는 사항(Q&A) ③,학사
130966,"[전학년 필독] 2025-1학기 수강신청 안내- 수강신청, 정정, 철회, 폐강정정 방법 ②",학사
130964,"[전학년 필독] 2025-1학기 수강신청 안내- 문의처, 전학년 알아야할 사항, 주요 학사일정 ①",학사
130877,2024학년도 동계계절학기 성적조회 안내,학사
130815,2025학년도 1학기 학기재수강 신청 안내,학사
129283,[학부생]2025학년도 1학기 복학‧휴학 및 휴학연장 신청 안내,학사
129199,2024학년도 동계계절학기 사이버강좌 기말고사 시행 안내,학사
129049,2024학년도 동계계절학기 사이버강좌 출석 및 수강방법 안내,학사
129039,2025학년도 1학기 ​학·석사 연계과정 모집,학사
129036,2025학년도 1학기 공연예술융합전공 신청 안내,학사
129034,"(세종캠퍼스)2025학년도 1학기 주전공 신청 및 변경, 자율전공 학생의 학과진입 신청 안내",학사
128993,"2025학년도 1학기 주전공 신청 및 변경,  자율전공 학생의 학과진입 신청 안내 (서울캠퍼스)",학사
128982,"2025학년도 1학기 복수전공, 부전공, 융합전공, 미세전공 신청 안내",학사
128528,2025학년도 전과 면접전형 안내(세종캠퍼스),학사
128456,2025학년도 전과 면접전형 안내 (서울캠퍼스),학사
128146,2024학년도 2학기 성적조회 안내,학사
127786,2024년 SIEMENS-PACE센터 동계 계절학기 (NX공학소프트웨어 특강),학사
127736,2025학년도 전과 전형 시행 안내,학사
127616,[세종캠퍼스] 2025학년도 1학기 재입학 신청 안내(추가),학사
125293,2024학년도 2학기 핵심역량진단검사 안내,학사
125259,2024학년도 2학기 강의평가 시행 안내,학사
124925,2024학년도 2학기 사이버강좌 기말고사 시행 안내,학사
119875,2025학년도 제1학기 재입학 신청 안내,학사
119394,2024학년도 2학기 강의중간평가 시행 안내,학사
117598,2024학년도 2학기 사이버강좌 중간고사 시행 안내,학사
116733,2024학년도 2학기 재수강 선삭제 기간 재안내 (기간변경 2024.9.11.~20),학사
116732,2024학년도 2학기 학점포기 신청 재안내 (기간변경 2024.9.11.~20),학사
115355,2024학년도 2학기 사이버강좌 시험장소 선택 안내,학사
115347,2024학년도 2학기 사이버강좌 출석 및 수강방법 안내,학사
115320,2024학년도 제2학기 추가 휴학 및 휴학 연장 신청 안내 (최종),학사
115318,2024학년도 2학기 등록금 분할납부 추가신청안내 (학부)(최종),학사
115249,2024학년도 2학기 학점포기 신청안내,학사
115248,2024학년도 2학기 재수강 선삭제 기간 안내,학사
112208,"2024학년도 2학기 교양학점 초과자 및 학기초과자 수강신청, 등록 안내(학부)",학사
112110,[서울] 2024학년도 2학기 사회봉사교과목 수강신청 안내 (~8.27.(화) 16:00까지),학사
110852,2024학년도 2학기 등록금 분할납부 신청 안내 (학부),학사
110815,2024학년도 제2학기 추가 복학(최종) 및 휴학 신청 안내,학사
99899,2024학년도 2학기 학기재수강 신청 안내,학사
99842,2024학년도 제2학기 복학‧휴학 및 휴학 연장 신청 안내,학사
99839,2024학년도 하계계절학기 성적조회 안내(바이오헬스 과목 성적조회 포함),학사
99804,2024학년도 2학기 OCU컨소시엄 공동개설과목 수강신청 및 시스템사용료 납부 안내,학사
99712,2024학년도 2학기 공연예술 융합전공 신청 안내,학사
99710,"2024학년도 2학기 복수전공, 부전공, 융합전공, 미세전공 신청 안내",학사
99454,2024학년도 하계계절학기 사이버강좌 기말고사 시행 안내,학사
99308,2024학년도 하계계절학기 출석 및 수강방법 안내,학사
99210,2024학년도 2학기 주전공 신청 및 변경 안내(세종캠퍼스),학사
99099,2024학년도 2학기 주전공 신청 및 변경 안내(서울캠퍼스),학사
98888,"2024학년도 1학기 성적조회 안내(OCU, 바이오헬스 과목 성적조회 포함)",학사
98711,2024학년도 1학기 핵심역량진단검사 안내_6/14~,학사
97608,[서울] 2024-1학기 학생 포상 추천 접수,학사
97547,[세종캠퍼스] 2024학년도 2학기 재입학 추가 신청 안내,학사
97487,2024년 SIEMENS-PACE센터 하계 계절학기 (NX공학소프트웨어 특강),학사
94751,(서울캠퍼스) 2024학년도 하계 계절학기 일정 안내,학사
94691,2024학년도 1학기 강의평가 시행 안내,학사
94433,2024학년도 1학기 사이버강좌 기말고사 시행 안내,학사
93763,2024학년도 제2학기 재입학 신청 안내,학사
153561,[서울 학부생] 2026-1학기 학생 포상 추천 접수(~7.2(목)까지 기한연장),학사
152107,2026 한국장학재단 박사우수장학생(이공계) 모집 공고,장학/근로
152106,2026 한국장학재단 석사우수장학생(이공계) 모집 공고,장학/근로
152104,[서울캠퍼스]2026년 2학기 국가근로장학금 1차 신청 안내,장학/근로
152066,2026년 2학기 교내장학금 신청 안내,장학/근로
151828,[장학] 2026-1학기 신용카드수수료장학금 신청 안내,장학/근로
151822,2026년 국가근로 하계방학 집중근로 희망근로지 신청 안내,장학/근로
151126,[서울캠퍼스]2026년도 1학기 사회봉사활동 실적 등록 안내,장학/근로
150689,"2026년 대학원 대통령과학장학금 신규장학생 선발 안내(한국장학재단, 국가우수 장학금)",장학/근로
150662,[장학팀] 교내장학생 선발시 사회봉사시간 기준 변경,장학/근로
150557,2026년 대통령과학장학금 신규장학생 신청 안내,장학/근로
149616,[경영대학] (모집완료) 2026-1학기 대학원 TAS(강의보조) 2차 모집(대학원생 대상),장학/근로
148888,[장학팀] 2026학년도 1학기 서울캠퍼스 주거안정장학금 우선지원기준 안내,장학/근로
148877,[경영대학] 2026-1학기 대학원 TAS(강의보조) 2차 모집(대학원생 대상),장학/근로
148851,[장학팀] 2026년 1학기 푸른등대 기부장학금 신청 안내,장학/근로
148844,2026학년도 1학기 대학원 장학금 2차 신청 안내,장학/근로
148838,2026학년도 1학기 사이버강좌 운영보조장학생 모집,장학/근로
148522,2026학년도 1학기 대학원 봉사장학생 선발,장학/근로
148517,학자금 지원 구간 개편 안내(2027년 예정),장학/근로
148263,2026년 제1차 서울시 학자금대출이자 지원 사업 안내,장학/근로
148102,[서울캠퍼스] 2026년도 1학기 국가근로 및 교내봉사 장학생 선발안내,장학/근로
147919,[장학팀] 2026년 1학기 국가장학금 2차 신청 안내(2.3~3.17),장학/근로
147908,2026학년도 1학기 2차 주거안정장학금 신청 안내,장학/근로
147116,2026학년도 1학기 대학원 재학생 장학금 1차 신청 안내,장학/근로
147111,2026학년도 1학기 대학원 신입생 장학금 신청 안내,장학/근로
147097,2026년 농촌출신대학(원)생 학자금대출,장학/근로
147049,2026년 상반기 경기도 대학생 학자금 대출이자 지원사업,장학/근로
146030,[한국장학재단] 통합학생지원정보로 안내,장학/근로
145153,[서울캠퍼스]2026년 1학기 국가근로장학금 1차 신청 안내,장학/근로
145102,[장학] 2025-2학기 신용카드수수료장학금 신청 안내,장학/근로
145047,2026년 1학기 국가장학금 신청 (11.20~),장학/근로
144880,2026학년도 1학기 1차 주거안정장학금 신청 안내,장학/근로
144689,[서울캠퍼스]2025년 국가근로 동계방학 집중근로 희망근로지 신청 안내,장학/근로
144478,[서울캠퍼스]2025년도 2학기 사회봉사활동 실적 등록 안내,장학/근로
143079,장학금 부정청구 자가점검 체크리스트,장학/근로
141848,[장학팀] 2025년도 2학기 고졸후학습자 장학사업(희망사다리Ⅱ유형) 신규장학생 신청 안내,장학/근로
141846,[장학팀] 2025학년도 2학기 홍익대학교 서울캠퍼스 주거안정장학금 지급 기준 안내,장학/근로
141736,[인권센터] 2025학년도 2학기 대학원 봉사장학생 선발,장학/근로
141495,2025학년도 2학기 사이버강좌 운영보조장학생 모집,장학/근로
141368,[경영대학] 2025-2학기 대학원 T/AS(강의보조) 2차 모집(대학원생 대상),장학/근로
141227,2025학년도 2학기 대학원 장학금 2차 신청 안내,장학/근로
140778,2025학년도 2학기 대학원 봉사장학생 선발,장학/근로
140499,[장학팀] 2025년 2학기 국가장학금 2차 신청 안내,장학/근로
140465,[서울] 2025년도 2학기 국가근로 및 교내봉사 장학생 선발안내,장학/근로
140455,[장학팀] 2025년 제2차 서울시 학자금대출이자 지원,장학/근로
139681,[장학팀] 2025년 2학기 푸른등대 기부장학금 신청 안내,장학/근로
139320,2025학년도 2학기 대학원 재학생 장학금 1차 신청 안내,장학/근로
139319,2025학년도 2학기 대학원 신입생 장학금 신청 안내,장학/근로
139004,[장학팀] 2025년 하반기 경기도 대학생 학자금 대출이자 지원 안내,장학/근로
136988,[장학] 2025-1학기 교내 신용카드수수료장학금 신청 안내,장학/근로
136986,[장학팀]2025년 2학기 교내장학금 신청 안내,장학/근로
136769,2025년 2학기 국가장학금 신청 안내,장학/근로
136599,[장학팀] 2025년 2학기 주거안정장학금 신청 안내,장학/근로
136537,[장학] 2025-1학기 교내 신용카드수수료장학금 신청 안내,장학/근로
136153,[장학] 2025-1학기 교내 신용카드수수료장학금 신청 안내,장학/근로
134362,[장학팀] 2025년 푸른등대 삼성기부장학금 신청 안내,장학/근로
134169,"[취업진로지원센터] 2025년 1학기 중소기업 취업연계 장학사업(희망사다리Ⅰ유형) 신규장학생 신청 안내(신청기간 연장, 4월 7일(월) 18:00까지)",장학/근로
133840,"[장학팀] 2025년 국가우수장학금(인문100년, 예술체육비전) 신규장학생 모집 공고",장학/근로
133184,"[취업진로지원센터] 2025년 1학기 중소기업 취업연계 장학사업(희망사다리Ⅰ유형) 신규장학생 신청 안내(신청기간 연장, 4월 7일(월) 18:00까지)",장학/근로
133001,[장학팀] 한국장학재단 주거안정장학금 우선지원기준 안내,장학/근로
132824,2025년도 공동기기센터(서울) 장비 운영 및 관리를 위한 보조 인력 모집 공고,장학/근로
132756,2025학년도 1학기 사이버강좌 운영보조장학생 모집,장학/근로
132562,2025학년도 1학기 대학원 장학금 2차 신청 안내,장학/근로
131711,2025학년도 1학기 대학원 봉사장학생 선발,장학/근로
130813,[장학팀] 제주특별자치도 2025년 상반기 학자금 대출이자 지원사업 안내,장학/근로
129220,[장학팀] 2025년 1학기 푸른등대 기부장학금 신규장학생 선발,장학/근로
129053,2025학년도 1학기 대학원 재학생 장학금 1차 신청 안내,장학/근로
129050,2025학년도 1학기 대학원 신입생 장학금 신청 안내,장학/근로
128735,홍익대학교 기획처 온라인커뮤니케이션실 - 세종캠퍼스 일반기자 근로 학생 모집 공고,장학/근로
127546,[장학] 2024-2학기 교내 신용카드수수료장학금 신청 안내,장학/근로
127402,2025년 1학기 국가근로장학금 1차 신청 안내,장학/근로
127351,[장학] 2024-2학기 교내 신용카드수수료장학금 신청 안내,장학/근로
125162,[장학] 2024-2학기 교내 신용카드수수료장학금 신청 안내,장학/근로
125117,2024년 푸른등대 삼성기부장학금 추가 신청 안내,장학/근로
124903,[장학] 2024-2학기 교내 신용카드수수료장학금 신청 안내,장학/근로
118893,홍익대학교 기획처 온라인커뮤니케이션실 - 세종캠퍼스 일반기자 근로 학생 모집 공고,장학/근로
116990,2025학년도 입학관리본부 입학사정관실 근로학생 추가모집(~9/11 13:00),장학/근로
114870,2025학년도 입학관리본부 입학사정관실 봉사장학생 추가모집(~8/30 14시까지),장학/근로
112114,홍익대학교 기획처 온라인커뮤니케이션실 - 일반기자 근로 학생 모집 공고,장학/근로
112113,홍익대학교 기획처 온라인커뮤니케이션실 - 사진기자 근로 학생 모집 공고,장학/근로
97124,[장학] 2024-1학기 교내 신용카드수수료장학금 신청 안내,장학/근로
94757,[장학] 2024-1학기 교내 신용카드수수료장학금 신청 안내,장학/근로
94387,[장학] 2024-1학기 교내 신용카드수수료장학금 신청 안내,장학/근로
153538,⭐D-1⭐ HI학습멘토랑 프로그램 멘토 모집,학생활동
153122,[HUSS x 대전세종관광공사] 트래블런 창업캠프 신청 안내(~7.01) ✨교육기간 중 기숙사 제공✨,학생활동
152818,[홍보] SK미래역량 프로그램 써니C 5기 모집,학생활동
152444,[서울 학부생] 2026-1학기 학생 포상 추천 접수,학생활동
152370,[모집] 2026 저탄소/에너지 기술 컨소시엄 SUMMER SCHOOL,학생활동
152056,[모집] 2026 창의·융합 디자인 엔지니어링 캠프,학생활동
151990,[모집] 2026 여름특강 인공지능 자율주행 드론 코딩 및 제작실습 교육,학생활동
151985,[모집] 2026 여름특강 생성형 AI와 AI 에이전트 개발 교육,학생활동
151744,[창업교육센터] 2026 4차 창업 특강 안내,학생활동
151703,[모집] 2026 Digital Fabrication 교육 (3D 프린팅 & 디지털 제작 장비 교육),학생활동
151674,[마포청년창업취업지원센터 나루 X 허브릿지] 경험을 디자인하는 기획자 양성과정 참여자 모집,학생활동
151521,"[인문사회융합인재양성사업(HUSS)] ""디지털 시대 - 디지털 휴머니즘과 르네상스""(ZOOM 참여)",학생활동
151165,[입학사정관실] 2026 HI-UP 멘토랑 모집(기간 연장),학생활동
151108,[입학사정관실] 2026 HI-UP 멘토랑 모집(기간 연장),학생활동
151067,[입학사정관실] 2026 HI-UP 멘토랑 모집,학생활동
150929,[장애학생지원센터] 제46회 장애인의날 인식개선교육 이수캠페인(4/29(수)),학생활동
150924,[입학사정관실] 2026 HI-UP 멘토랑 모집,학생활동
150470,[사회봉사시간 2시간] 26-1 재학생 지능정보서비스(인터넷·스마트폰) 과의존 예방교육,학생활동
150469,[사회봉사시간 3시간] 26-1 재학생 장애 인식개선 교육,학생활동
150036,(창업교육센터_서울) 2026 창업 특강 개최,학생활동
149500,[바이오헬스 혁신융합대학사업단] 홍푸름 서포터즈 6기 모집,학생활동
146787,2026년도 홍익대 첨단산업 인재양성 (반도체)부트캠프사업 수혜학생 신규선발 안내,학생활동
145107,[서울] 2025-2학기 학생 포상 추천 접수,학생활동
137776,[모집] 2025 저탄소/에너지 기술 컨소시엄 SUMMER SCHOOL,학생활동
137746,[모집] 2025 창의·융합 디자인 엔지니어링 캠프 참가 신청,학생활동
137345,국립외교원 국민외교아카데미 제8기 대학생 외교 연수 과정 참가 안내,학생활동
133705,2025 바이오헬스 청소년∙대학생 연합 부트 캠프: 유스랩(lab),학생활동
133560,[바이오헬스 혁신융합대학사업단] (재공지) 서포터즈 5기 모집,학생활동
133264,2025-1학기 미래인재센터 교육환경개선 지원단 모집(3/17(월) 15시까지),학생활동
133096,[홍익대학교 바이오헬스 혁신융합대학사업단] 서포터즈 5기 모집,학생활동
133089,2025-1학기 미래인재센터 제1관 학생 선발계획 공고,학생활동
130954,[SIEMENS-PACE센터] 2025 독일 아헨공대 국제협업수업 및 IDEEA (NextPACE) 참가 학생 모집연장_미술대학(~ 2월3일까지),학생활동
130898,2025년도 홍익대 첨단산업 인재양성 (반도체)부트캠프사업   수혜학생 신규선발 안내,학생활동
119643,2024-2학기 미래인재센터 제1관 학생 선발계획 공고,학생활동
114932,[모집] 홍익대학교 교육방송국 HIBS에서 55기 보도부 수습국원을 모집합니다.,학생활동
114317,2024 홍익대 반도체 부트캠프 수혜학생 모집 및 사업 설명회 안내,학생활동
98725,2024 저탄소/에너지 기술 컨소시엄 하계 교육 프로그램 SUMMER SCHOOL,학생활동
97366,[모집] 2024 창의·융합 디자인 엔지니어링 캠프 참가 신청,학생활동
97228,[서울캠퍼스] 2024  Digital Fabrication 교육 (3D 프린팅 & 디지털 제작 장비 교육) 참가신청,학생활동
93560,[사회봉사 2시간] 2024-1 재학생 지능정보서비스(인터넷·스마트폰) 과의존 예방교육(~5.31),학생활동
93559,[사회봉사 2시간] 2024-1 재학생 장애 인식개선 교육(~5.31),학생활동
147476,"[홍보] ""SoC설계코어드라이브과정"" 교육생 모집",학생활동
149464,[서울/취업진로지원센터] ESG 전문가 교육과정 및 자격 프로그램 운영 안내,학생활동
145611,"[홍보] [멀티캠퍼스] ""SSAFY출신 강사진의 최신 AI 부트캠프"" 생각하는 AI 서비스 개발자 양성 과정 수강생 모집(~12/14)",학생활동
144968,[홍보] [멀티캠퍼스] 11월 데이터 분석가 부트캠프 교육과정 수강생 모집안내(~11/16),학생활동
142608,[홍보] 대한상공회의소 임베디드 시스템반도체 설계 엔지니어 교육과정 홍보,학생활동
140515,[홍보] 대한상공회의소 서울기술교육센터 9월 로봇 SW 개발자 교육생 모집안내,학생활동
139266,[대한상공회의소 서울기술교육센터] AI융합 로봇 SW 개발자 과정 교육생 모집 공고,학생활동
137903,2025년 청년인생설계학교 2기 참여자 모집,학생활동
137608,[홍보] 2025 [삼육대학교 거점형 특화프로그램_2개 과정] 참여 홍보,학생활동
137513,[홍보] 숙명여자대학교 대학일자리플러스센터 특화 프로그램 'Microsoft와 함께하는 2025 정보보안 인재 양성 과정',학생활동
137436,[홍보] 숙명여자대학교 대학일자리플러스센터 특화 프로그램 'Microsoft와 함께하는 2025 정보보안 인재 양성 과정',학생활동
136228,[교육] 2025학년도 파이썬 프로그래밍 입문 과정 교육생 모집,학생활동
153541,기간제 한국어교원 모집[홍익대학교 국제언어교육원],취업/인턴
153306,[서울/취업진로지원센터] 2026년 7월 취업(진로) 대면 1:1집중컨설팅 일정 안내,취업/인턴
153288,[서울/취업진로지원센터] 2026년 7월 READ 진로상담 일정 안내,취업/인턴
153168,[취업진로지원센터] 인바디 2026년 상반기 채용 홍보 커피차 운영,취업/인턴
153047,"2026년 하반기 국내과정 ICT 학점연계 프로젝트 인턴십 실습생(학생) 모집 안내(~7/8(수), 12:00)",취업/인턴
