article_no,title,url,date,,label (현),label (준환),label (성훈),"카테고리 몇개, 뭐로 할지 정하기: 장학, 졸업, 학사",,,
146273,2025 동계 계절학기 수업 도우미 모집(~12/19 17:00),https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=146273&article.offset=30&articleLimit=10,2025.12.16,장학/근로,장학,장학,근로,,,,
146005,컴퓨터공학과 졸업프로젝트용 GPU서버 학생 계정 삭제 안내(12/22 예정),https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=146005&article.offset=30&articleLimit=10,2025.12.10,졸업,졸업,졸업,졸업,,,,
145692,[필독] 기말고사 시험시간 중복 과목 대체 시험 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=145692&article.offset=30&articleLimit=10,2025.12.03,학사,학사,학사,학사,,,,
145629,[마감] DINA 연구실 동계 인턴 모집,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=145629&article.offset=30&articleLimit=10,2025.12.01,대회/공모전,대학원/연구,취업/인턴,취업/인턴,연구?,,,
145482,2026년 2월 조기졸업 신청서 제출 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=145482&article.offset=40&articleLimit=10,2025.11.26,졸업,졸업,졸업,졸업,,,,
145474,신격호 롯데장학관 2026 1학기 입주생 모집안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=145474&article.offset=40&articleLimit=10,2025.11.26,장학/근로,장학,장학,장학,,,,
145472,2025 ACDC (AI Cyber Defense Contest) 참석 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=145472&article.offset=40&articleLimit=10,2025.11.26,대회/공모전,대회·공모전,대회/공모전,대회/공모전,,,,
145470,2025 동계 국제사회봉사단 모집안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=145470&article.offset=40&articleLimit=10,2025.11.26,학생활동,학생활동,학생활동,봉사,,,,
145377,2025학년도 2학기 졸업프로젝트 전시회 일정,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=145377&article.offset=40&articleLimit=10,2025.11.25,졸업,졸업,졸업,졸업,,,,
145344,[필독] 2025-2학기 기말고사 일정 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=145344&article.offset=40&articleLimit=10,2025.11.24,학사,학사,학사,학사,,,,
145221,2026-1학기 교내장학금 신청 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=145221&article.offset=40&articleLimit=10,2025.11.19,장학/근로,장학,장학,장학,,,,
145036,2025학년도 2학기 학생 포상 대상자 추천 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=145036&article.offset=40&articleLimit=10,2025.11.14,장학/근로,장학,장학,장학,,,,
144927,[취업진로지원센터] 2025 생성형AI(챗봇 만들기),https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=144927&article.offset=40&articleLimit=10,2025.11.11,학생활동,학생활동,취업/인턴,교육,,,,
144918,서울대학교 융합과학기술대학원 2025학년도 동계 융합연구프로그램,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=144918&article.offset=40&articleLimit=10,2025.11.11,대학원/연구,대학원/연구,학생활동,대학원/연구,,,,
144912,[학습지원센터] 2025-2학기 비전특강,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=144912&article.offset=50&articleLimit=10,2025.11.11,학생활동,학생활동,학생활동,교육,,,,
144911,[취업지원팀] 파네시아 채용 설명회&상담회,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=144911&article.offset=50&articleLimit=10,2025.11.11,취업/인턴,취업/인턴,취업/인턴,취업/인턴,,,,
144830,장학,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=144830&article.offset=50&articleLimit=10,2025.11.07,장학/근로,장학,장학,봉사,본문 장학,,,
144829,2025학년도 전기(2026년 2월) 졸업예정자 전공명 선택 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=144829&article.offset=50&articleLimit=10,2025.11.07,졸업,졸업,졸업,졸업,,,,
144828,학사학위취득유예 신청 일정 안내(2026년 2월 졸업대상자),https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=144828&article.offset=50&articleLimit=10,2025.11.07,졸업,졸업,졸업,졸업,,,,
144635,[필독] 2025-2학기 출석인정승인요청서(공결) 신청 전산화 및 사용방법 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=144635&article.offset=50&articleLimit=10,2025.11.03,학사,학사,학사,학사,,,,
144476,2025 홍익대 직무박람회,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=144476&article.offset=50&articleLimit=10,2025.10.29,취업/인턴,취업/인턴,학생활동,취업/인턴,,,,
144290,[홍익대학교 바이오헬스혁신융합대학] 대테러 폭발실험 체험캠프2,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=144290&article.offset=50&articleLimit=10,2025.10.24,학생활동,학생활동,학생활동,교육,,,,
144222,<25-2 유한재단 생활비 장학생>,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=144222&article.offset=50&articleLimit=10,2025.10.22,장학/근로,장학,장학,장학,,,,
144213,[대학교육혁신사업단] 2025-2학기 <자료구조로 만나는 컴퓨터 과학>,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=144213&article.offset=50&articleLimit=10,2025.10.22,학생활동,학생활동,학생활동,교육,,,,
144153,[대학교육혁신사업단] 2025-2학기 학습전략강화 워크숍,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=144153&article.offset=60&articleLimit=10,2025.10.21,학생활동,학생활동,학생활동,교육,,,,
143944,2025 홍익대학교 직무박람회 (11월 5일(수)~11월 6일(목)),https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=143944&article.offset=60&articleLimit=10,2025.10.17,취업/인턴,취업/인턴,학생활동,취업/인턴,,,,
143884,"[필독] 중간고사 시험시간 중복 과목 대체 시험 안내(운영체제(김선일), 자료구조(송하윤), 블록체인(박준철))",https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=143884&article.offset=60&articleLimit=10,2025.10.16,학사,학사,학사,학사,,,,
143688,[필독] ㈜크래프톤 장학금,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=143688&article.offset=60&articleLimit=10,2025.10.13,장학/근로,장학,장학,장학,,,,
143499,[필독] 2025-2학기 중간고사 일정 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=143499&article.offset=60&articleLimit=10,2025.10.01,학사,학사,학사,학사,,,,
143343,DINA 연구실 (윤영교수님) 탐방 및 Q&A 참여 신청,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=143343&article.offset=60&articleLimit=10,2025.09.26,대학원/연구,대학원/연구,취업/인턴,대학원/연구,,,,
143297,[교수학습지원센터] 2025학년도 2학기 학습전략강화워크숍,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=143297&article.offset=60&articleLimit=10,2025.09.25,학생활동,학생활동,학생활동,교육,,,,
143199,컴퓨터공학과 대학원 및 학부 연구생 제도 소개를 위한 설명회 개최 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=143199&article.offset=60&articleLimit=10,2025.09.23,대학원/연구,대학원/연구,학생활동,대학원/연구,,,,
143064,[교수학습센터(서울)] 2025-2학기 학습전략강화워크숍 참여학생 모집,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=143064&article.offset=60&articleLimit=10,2025.09.19,학생활동,학생활동,학생활동,교육,,,,
142923,"교수학습센터(서울)] 2025-2학기 기초학습역량강화(수리,논리)",https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=142923&article.offset=60&articleLimit=10,2025.09.17,학생활동,학생활동,학생활동,교육,,,,
142738,[학생상담센터] 폭력예방교육 리뉴얼 주소 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=142738&article.offset=70&articleLimit=10,2025.09.15,기타,기타,기타,교육,,,,
142311,[필독] 자료구조및 프로그래밍의 교재 구입 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=142311&article.offset=70&articleLimit=10,2025.09.10,학사,학사,학사,학사,,,,
142156,"[필독] 국가근로, 교내근로, 봉사도우미 등 컴퓨터공학과 근로학생 지원 자격은 반드시 '컴퓨터공학과'학생만 가능합니다.",https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=142156&article.offset=70&articleLimit=10,2025.09.09,장학/근로,장학,장학,근로,,,,
142035,학과 내 학회 포스터는 학과장님의 별도의 승인 없이 학과 사무실에서 날인 후 게시 가능합니다.,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=142035&article.offset=70&articleLimit=10,2025.09.08,학사,학사,학사,행정,,,,
141907,컴퓨터공학과에서 P동 강의실에 대한 대여 신청 불가 및 학회 목적일 경우 대여절차 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=141907&article.offset=70&articleLimit=10,2025.09.04,학사,학사,기타,행정,,,,
141859,학과 사무실 봉사도우미 모집 (9월 9일(화)까지),https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=141859&article.offset=70&articleLimit=10,2025.09.04,장학/근로,장학,학생활동,근로,,,,
141843,2025학년도 K-CESA(대학생 핵심역량 진단평가) 신청자 모집,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=141843&article.offset=70&articleLimit=10,2025.09.03,학생활동,학생활동,학생활동,,,,,
141827,2025-2학기 학습튜터링 프로그램 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=141827&article.offset=70&articleLimit=10,2025.09.03,학생활동,학생활동,학생활동,교육,장학?,,,
141364,컴퓨터공학과 AI/ML 및 실습 서버 사용 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=141364&article.offset=70&articleLimit=10,2025.08.28,학사,학사,학사,학사,,,,
141067,컴퓨터공학과 2025년 2학기 기자재 대여 및 반납 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=141067&article.offset=70&articleLimit=10,2025.08.22,학사,학사,학사,행정,,,,
141060,[필독] 행사장 사용 신청 양식 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=141060&article.offset=80&articleLimit=10,2025.08.22,학사,학사,기타,행정,,,,
141031,[대학교육혁신사업단] 2025학년도 전공별 졸업생 취업 특강 및 직업탐방 세미나 프로그램 운영 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=141031&article.offset=80&articleLimit=10,2025.08.22,취업인턴,취업/인턴,학생활동,취업/인턴,,,,
140932,산업디자인학과 디자인 연구실(HDI Lab) 데이터 수집 단기 학부 연구원 모집,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=140932&article.offset=80&articleLimit=10,2025.08.20,대학원/연구,대학원/연구,취업/인턴,대학원/연구,애매함!,,,
140930,[필독] 2025학년도 2학기 대학원 수강신청 일정 및 방법 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=140930&article.offset=80&articleLimit=10,2025.08.20,학사,학사,학생활동,학사,,,,
140859,2025년 2학기 멀티미디어응용수학(인공지능수학) 관련 공지,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=140859&article.offset=80&articleLimit=10,2025.08.19,학사,학사,학사,학사,,,,
140739,2025년 2학기 개설 분산시스템 특론 대학원 과목 학부생 수강 가능,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=140739&article.offset=80&articleLimit=10,2025.08.14,학사,학사,학사,학사,,,,
140333,컴퓨터공학과 딥러닝 서버 초기화 공지,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=140333&article.offset=80&articleLimit=10,2025.08.05,학사,학사,기타,학사,,,,
140331,"25-2학기 졸업프로젝트(창직, AIML) 1,2 수강신청 안내",https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=140331&article.offset=80&articleLimit=10,2025.08.05,졸업,졸업,졸업,졸업,,,,
140278,[대학교육혁신사업] -📢 [해외 취업에 관심 있다면?] 2025 홍익대학교 USA/SINGAPORE JOB CONCERT! 🌏💼,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=140278&article.offset=80&articleLimit=10,2025.08.05,취업/인턴,취업/인턴,취업/인턴,취업/인턴,,,,
140227,"[도서관] AI 연구 특강(AI 질적연구, AI 디자인 연구, AI 학술 글쓰기)",https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=140227&article.offset=80&articleLimit=10,2025.08.04,학생활동,학생활동,학생활동,교육,,,,
139353,[AIS Lab] 학부연구원 및 대학원 지원자 모집,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=139353&article.offset=90&articleLimit=10,2025.07.09,대학원/연구,대학원/연구,취업/인턴,대학원/연구,,,,
139254,2024학년도 후기(2025년 8월) 졸업예정자 전공명 선택 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=139254&article.offset=90&articleLimit=10,2025.07.08,졸업,졸업,졸업,졸업,,,,
139243,[컴퓨터공학과] 학부연수생 모집공고,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=139243&article.offset=90&articleLimit=10,2025.07.07,대학원/연구,대학원/연구,취업/인턴,대학원/연구,,,,
139233,[대학교육혁신사업단] 홍익챌린지 11기 모집,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=139233&article.offset=90&articleLimit=10,2025.07.07,학생활동,학생활동,학생활동,교육,,,,
139064,[홍익대학교] 의학분야 진로탐색 프로그램 IV 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=139064&article.offset=90&articleLimit=10,2025.07.02,학생활동,학생활동,학생활동,취업/인턴,,,,
138400,[한국전력기술주식회사] 2025년 Power Engineering School(PES) Summer Camp(32기) 참가 대학생 모집,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=138400&article.offset=90&articleLimit=10,2025.06.24,취업/인턴,취업/인턴,취업/인턴,취업/인턴,교육?,,,
138164,[필독] 한국공학한림원 차세대공학리더급 학생 신청 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=138164&article.offset=90&articleLimit=10,2025.06.23,학생활동,학생활동,취업/인턴 or 학생활동,교육,,,,
138151,"[모집] 채용 연계형 인턴 공고 (XCENA, 엑시나)",https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=138151&article.offset=90&articleLimit=10,2025.06.23,취업/인턴,취업/인턴,취업/인턴,취업/인턴,,,,
138137,[대학혁신지원사업] 2025학년도 하계 방학 교과연계 워크숍,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=138137&article.offset=90&articleLimit=10,2025.06.23,취업/인턴,취업/인턴,취업/인턴,교육,,,,
138132,[2025학년도 하계방학 대기업 채용대비 취업스쿨(캠프) 참여자모집],https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=138132&article.offset=90&articleLimit=10,2025.06.23,취업/인턴,취업/인턴,취업/인턴,취업/인턴,,,,
138091,2025학년도 8월 졸업예정자 교원자격무시험검정원서 접수 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=138091&article.offset=100&articleLimit=10,2025.06.20,졸업,졸업,졸업,졸업,,,,
137243,[필독] 2025학년도 1학기 학생 포상 대상자 추천 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=137243&article.offset=100&articleLimit=10,2025.05.30,장학/근로,장학,장학,장학,,,,
137162,2025-2학기 교내장학금 신청 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=137162&article.offset=100&articleLimit=10,2025.05.28,장학/근로,장학,장학,장학,,,,
136923,[필독] 2025년도 1학기 졸업 프로젝트 전시회 일정,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=136923&article.offset=100&articleLimit=10,2025.05.22,졸업,졸업,졸업,졸업,,,,
136445,[~5/28(수) 24시까지] 2025학년도 1학기 오승환 및 동문장학금 신청 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=136445&article.offset=100&articleLimit=10,2025.05.13,장학/근로,장학,장학,장학,,,,
136236,[장학] 2025-1학기 교내 신용카드수수료장학금 신청 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=136236&article.offset=100&articleLimit=10,2025.05.07,장학/근로,장학,장학,장학,,,,
136025,"[취업진로지원센터] 2025 글로벌기업,대기업,스타트업 프로그램",https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=136025&article.offset=100&articleLimit=10,2025.04.29,취업/인턴,취업/인턴,취업/인턴,취업/인턴,,,,
